SEND	Special Educational Needs and Disabilities — pupils with learning difficulties or disabilities requiring additional support. Ranges from SEN Support (school-based) to EHCP (legally binding plan with named provision).
EHCP	Education, Health and Care Plan — legal document for children/young people with significant SEND. Specifies provision the LA must fund. Replaced Statements of SEN in 2014. Schools must deliver what's in the plan.
EAL	English as an Additional Language — pupils whose first language is not English. A cohort definition for tracking and reporting. Ranges from newly arrived (significant support needed) to fully fluent (minimal impact).
Arbor	Cloud-based MIS (Management Information System) used by DRB Ignite schools. Handles pupil records, attendance, assessment, behaviour, Census returns, timetabling. Your primary data source for integration.
CPOMS	Child Protection Online Monitoring System — safeguarding and welfare software. Logs concerns, incidents, actions. Used by DSLs and pastoral staff. Contains sensitive data — important for GDPR considerations. Integration point, not replacement.
MIS	Management Information System — the core school database (Arbor, SIMS, Bromcom etc.). Holds pupil records, attendance, assessment, timetable, Census data. The single source of truth for pupil-level data.
SIMS	School Information Management System — legacy MIS by Capita (now ESS). Still used in many schools. Being replaced by cloud-based alternatives like Arbor and Bromcom. DRB uses Arbor, not SIMS.
Power BI	Microsoft's business intelligence and data visualisation tool. You'll use this as the DISPLAY layer — dashboards, reports, interactive visuals. It shows what's in the data; the innovation is in how data is structured before it reaches Power BI.
DSL	Designated Safeguarding Lead — the person in each school responsible for child protection. Logs concerns in CPOMS. Must be trained to Level 3. Every school must have one; often the head or a deputy.
Ofsted	Office for Standards in Education — inspects and regulates schools. Current framework (2019) judges: Quality of Education, Behaviour & Attitudes, Personal Development, Leadership & Management. Grades: Outstanding, Good, RI, Inadequate.
RI	Requires Improvement — Ofsted grade 3 (of 4). School is not yet Good. Triggers increased monitoring and support. A school rated RI will be reinspected within 30 months. Significant pressure on leadership.
DfE	Department for Education — the government department responsible for education and children's services in England. Publishes ASP, IDSR, runs NPD, sets policy, funds via ESFA.
GDPR	General Data Protection Regulation — data protection law. Key principles: lawful basis, data minimisation, purpose limitation, storage limitation, accuracy, accountability. Your federated architecture addresses this by keeping PII local.
PII	Personally Identifiable Information — any data that can identify an individual (name, UPN, DOB, address). In your federated model, PII never leaves the school. Only anonymised patterns are shared centrally.
UPN	Unique Pupil Number — 13-character identifier assigned to every pupil in England. Stays with them across schools. Used in Census, CTF transfers, and NPD. The key linking field across government datasets.
ICO	Information Commissioner's Office — the UK's data protection regulator. Enforces GDPR/Data Protection Act 2018. Can fine organisations for breaches. Your privacy-by-architecture approach is designed to exceed their requirements.
RAG	Red Amber Green — traffic-light rating system used ubiquitously in education for quick visual assessment. Red = concern, Amber = monitor, Green = on track. Simple but limited — your structured approach goes deeper.
CPD	Continuing Professional Development — ongoing training for teachers and staff. Your slides propose structuring CPD as a skills graph (prerequisites → capabilities) rather than a flat list of courses attended.
ROI	Return on Investment — ratio of benefit to cost. Your finance slides propose measuring interventions by ROI: "Intervention X returns £4 per £1 spent." Moves from "how much did we spend?" to "what did the spending achieve?"
VFM	Value for Money — a governance requirement for public-funded bodies. Trusts must demonstrate VFM in spending decisions. Currently often claimed in narrative; your approach proves it with data.
EBacc	English Baccalaureate — secondary performance measure covering English, maths, sciences, a language, and history or geography at GCSE. Not directly relevant to DRB's primaries but context for KS4 discussions.
LAC	Looked After Children (also CLA — Children Looked After) — children in the care of the local authority. Attract Pupil Premium Plus funding (higher rate). A priority cohort for tracking and intervention.
GDS	Get Data about Schools — DfE's public data download service. Replaced the old performance tables download. Lets you pull school-level data including finance, workforce, performance for analysis.
RAISE	RAISEonline — the predecessor to ASP. Retired in 2017. If anyone mentions RAISE, they mean ASP. Some older staff may still use the term out of habit.
Federated Learning	AI architecture where each school runs its own model locally, shares only anonymised patterns centrally, and receives improved models back. No PII moves. Same approach Google uses for phone keyboard prediction.
Independent Variable	The CAUSE — the factor that drives an outcome. Attendance, engagement, prerequisite skills, teaching method. Your core argument: we should measure and manage independent variables, not just count dependent ones.
Dependent Variable	The OUTCOME — the result we measure (test scores, grades, Progress 8). Lagging indicator. Most school data only captures this. Your approach captures the independent variables that cause it.
Skills Graph	Directed graph of 459 skills, each with 5 observable criteria, parent skills (prerequisites), and offspring skills (what it enables). Diagnoses root causes rather than symptoms. "Emma hasn't failed maths — she hasn't consolidated working memory."
